"DSC_LIN0"|"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP"|"DSC_OPR_REG0"|"DSC_SLS_TYP_LV1"|"QTY_REGISTRATION"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"319"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"8"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"6"
"Onix"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"22"
"Onix"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"33"
"Spin"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"8"
"Spin"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"4"
"Spin"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Parana"|"Fleet/Government"|"6"
"Onix"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Brasilia"|"Dealer"|"7"
"Onix"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"18"
"Montana 1.2"|"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-12-04"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Fleet/Government"|"1"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Recife"|"Fleet/Government"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-12-06"|"12"|"LIGHT COMMERCIAL"|"Centro oeste"|"Dealer"|"4"
"Spin"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Belem"|"Fleet/Government"|"3"
"Spin"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"1"
"Onix"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"20"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Sao paulo"|"Dealer"|"20"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"16"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Recife"|"Dealer"|"57"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Fortaleza"|"Dealer"|"18"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"26"
"Tracker"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Parana"|"Dealer"|"16"
"Cruze"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Porto alegre"|"Dealer"|"2"
"Equinox"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Parana"|"Fleet/Government"|"1"
"Equinox"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Centro oeste"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"10"
"Onix"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Belem"|"Dealer"|"83"
"Tracker"|"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Recife"|"Dealer"|"36"
"Montana 1.2"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"10"
"Montana 1.2"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"5"
"Tracker"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Recife"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"6"
"Tracker"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"5"
"Tracker"|"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"6"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"7"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Belem"|"Dealer"|"13"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Parana"|"Dealer"|"15"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"8"
"Spin"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Parana"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-11-15"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"8"
"Spin"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"3"
"Montana 1.2"|"BRAZIL"|"2023-11-21"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"18"
"Onix"|"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Parana"|"Fleet/Government"|"27"
"Onix"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"31"
"Onix"|"BRAZIL"|"2023-11-25"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"9"
"Onix"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"28"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Recife"|"Dealer"|"31"
"Onix"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Interior paulista b"|"Dealer"|"29"
"Onix"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Belem"|"Dealer"|"32"
"Onix"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Sao paulo"|"Fleet/Government"|"12"
"Onix"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"20"
"Onix"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"53"
"Onix"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"4"
"Tracker"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"7"
"Tracker"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Fortaleza"|"Dealer"|"13"
"Spin"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Santa catarina"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"5"
"Spin"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"1"
"Onix"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"26"
"Onix"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Sao paulo"|"Dealer"|"34"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"6"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Belo horizonte"|"Dealer"|"5"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"6"
"Onix"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"15"
"Montana 1.2"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|"Dealer"|"2"
"Montana 1.2"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Belo horizonte"|"Fleet/Government"|"2"
"Montana 1.2"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"8"
"Onix"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Recife"|"Dealer"|"24"
"Onix"|"BRAZIL"|"2023-11-09"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"18"
"Onix"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"41"
"Tracker"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"12"
"Tracker"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Interior paulista b"|"Dealer"|"17"
"Spin"|"BRAZIL"|"2023-11-27"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"2"
"Spin"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Santa catarina"|"Dealer"|"2"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"5"
"Onix"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"32"
"Tracker"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Centro oeste"|"Dealer"|"12"
"Tracker"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Interior paulista b"|"Dealer"|"10"
"S-10 crew cab"|"BRAZIL"|"2023-11-24"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Fleet/Government"|"5"
"S-10 crew cab"|"BRAZIL"|"2023-11-08"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|"Fleet/Government"|"6"
"S-10 crew cab"|"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"4"
"Spin"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"6"
"Tracker"|"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"12"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"6"
"S-10 crew cab"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-11-21"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Fleet/Government"|"6"
"Spin"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Belem"|"Dealer"|"1"
"Cruze"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Parana"|"Dealer"|"3"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"16"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Espirito santo"|"Fleet/Government"|"2"
"Spin"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"2"
"Onix"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"9"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Recife"|"Dealer"|"61"
"Onix"|"BRAZIL"|"2023-11-04"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"3"
"Onix"|"BRAZIL"|"2023-11-11"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"4"
"Onix"|"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"27"
"Onix"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Fortaleza"|"Dealer"|"27"
"Onix"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"21"
"Onix"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Belem"|"Fleet/Government"|"13"
"Tracker"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"1"
"Cruze"|"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Recife"|"Dealer"|"1"
"Onix"|"BRAZIL"|"2023-12-04"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"3"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Santa catarina"|"Dealer"|"22"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Recife"|"Dealer"|"37"
"Tracker"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"11"
"S-10 crew cab"|"BRAZIL"|"2023-12-12"|"12"|"LIGHT COMMERCIAL"|"Interior paulista b"|"Dealer"|"3"
"S-10 crew cab"|"BRAZIL"|"2023-11-07"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Fleet/Government"|"6"
"Montana 1.2"|"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"2"
"Montana 1.2"|"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"8"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Recife"|"Dealer"|"12"
"Montana 1.2"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"18"
"Montana 1.2"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|"Dealer"|"9"
"Montana 1.2"|"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|"Dealer"|"11"
"Montana 1.2"|"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Dealer"|"8"
"Montana 1.2"|"BRAZIL"|"2023-11-06"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|"Fleet/Government"|"9"
"Montana 1.2"|"BRAZIL"|"2023-11-08"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"27"
"S-10 crew cab"|"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"5"
"S-10 crew cab"|"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|"Dealer"|"3"
"Onix"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Interior mg"|"Dealer"|"13"
"Montana 1.2"|"BRAZIL"|"2023-12-07"|"12"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"4"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Centro oeste"|"Dealer"|"27"
"Tracker"|"BRAZIL"|"2023-12-07"|"12"|"PASSENGER"|"Interior mg"|"Dealer"|"9"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Recife"|"Dealer"|"7"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Espirito santo"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Porto alegre"|"Dealer"|"1"
"Tracker"|"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Recife"|"Fleet/Government"|"4"
"Montana 1.2"|"BRAZIL"|"2023-11-08"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"3"
"Montana 1.2"|"BRAZIL"|"2023-11-14"|"11"|"LIGHT COMMERCIAL"|"Belem"|"Fleet/Government"|"19"
"Tracker"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Sao paulo"|"Use Company"|"1"
"Tracker"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"1"
"Tracker"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Interior paulista a"|"Fleet/Government"|"4"
"S-10 crew cab"|"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Interior mg"|"Dealer"|"2"
"S-10 crew cab"|"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Parana"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Belo horizonte"|"Fleet/Government"|"52"
"Onix"|"BRAZIL"|"2023-11-23"|"11"|"PASSENGER"|"Fortaleza"|"Fleet/Government"|"5"
"S-10 crew cab"|"BRAZIL"|"2023-11-17"|"11"|"LIGHT COMMERCIAL"|"Santa catarina"|"Dealer"|"1"
"Onix"|"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Belo horizonte"|"Dealer"|"9"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Rio de janeiro"|"Dealer"|"7"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Belem"|"Dealer"|"18"
"Tracker"|"BRAZIL"|"2023-12-06"|"12"|"PASSENGER"|"Parana"|"Dealer"|"13"
"Onix"|"BRAZIL"|"2023-12-11"|"12"|"PASSENGER"|"Interior paulista b"|"Fleet/Government"|"10"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Interior paulista b"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Belem"|"Dealer"|"1"
"Spin"|"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Santa catarina"|"Fleet/Government"|"3"
"Tracker"|"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Interior paulista a"|"Fleet/Government"|"2"
"Tracker"|"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"13"
"Tracker"|"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Sao paulo"|"Dealer"|"39"
"Tracker"|"BRAZIL"|"2023-11-22"|"11"|"PASSENGER"|"Parana"|"Dealer"|"20"
"Tracker"|"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Interior paulista a"|"Dealer"|"10"
"Spin"|"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Porto alegre"|"Fleet/Government"|"2"
"Spin"|"BRAZIL"|"2023-11-07"|"11"|"PASSENGER"|"Rio de janeiro"|"Fleet/Government"|"6"
"Onix"|"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Brasilia"|"Dealer"|"12"
"Onix"|"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Espirito santo"|"Dealer"|"3"
